rank,name,artist
1,First Class,Jack Harlow
2,As It Was,Harry Styles
3,N95,Kendrick Lamar
4,Wait For U,Future Featuring Drake & Tems
5,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer"
6,You Proof,Morgan Wallen
7,Silent Hill,Kendrick Lamar & Kodak Black
8,United In Grief,Kendrick Lamar
9,About Damn Time,Lizzo
10,Big Energy,Latto
11,Father Time,Kendrick Lamar Featuring Sampha
12,Heat Waves,Glass Animals
13,Rich Spirit,Kendrick Lamar
14,Me Porto Bonito,Bad Bunny & Chencho Corleone
15,Moscow Mule,Bad Bunny
16,We Cry Together,Kendrick Lamar & Taylour Paige
17,Enemy,Imagine Dragons X JID
18,Titi Me Pregunto,Bad Bunny
19,Worldwide Steppers,Kendrick Lamar
20,Count Me Out,Kendrick Lamar
21,Stay,The Kid LAROI & Justin Bieber
22,Purple Hearts,"Kendrick Lamar, Summer Walker & Ghostface Killah"
23,Savior,"Kendrick Lamar, Baby Keem, & Sam Dew"
24,Woman,Doja Cat
25,Ghost,Justin Bieber
26,Despues de La Playa,Bad Bunny
27,Party,Bad Bunny & Rauw Alejandro
28,Wasted On You,Morgan Wallen
29,Cooped Up,Post Malone Featuring Roddy Ricch
30,Bad Habits,Ed Sheeran
31,Puffin On Zootiez,Future
32,Super Gremlin,Kodak Black
33,Rich (Interlude),Kendrick Lamar
34,Thats What I Want,Lil Nas X
35,Provenza,Karol G
36,Boyfriend,Dove Cameron
37,Shivers,Ed Sheeran
38,Cold Heart (PNAU Remix),Elton John & Dua Lipa
39,Bam Bam,Camila Cabello Featuring Ed Sheeran
40,Mr. Morale,Kendrick Lamar & Tanna Leone
41,Crown,Kendrick Lamar
42,Numb Little Bug,Em Beihold
43,'Til You Can't,Cody Johnson
44,MAMIII,Becky G X Karol G
45,Sweetest Pie,Megan Thee Stallion & Dua Lipa
46,AA,Walker Hayes
47,Auntie Diaries,Kendrick Lamar
48,Trouble With A Heartbreak,Jason Aldean
49,Ojitos Lindos,Bad Bunny & Bomba Estereo
50,Thought You Should Know,Morgan Wallen
51,Savior (Interlude),Kendrick Lamar
52,Tarot,Bad Bunny & Jhay Cortez
53,Un Ratito,Bad Bunny
54,Doin' This,Luke Combs
55,Mirror,Kendrick Lamar
56,Take My Name,Parmalee
57,Thousand Miles,The Kid LAROI
58,To The Moon!,JNR CHOI & Sam Tompkins
59,Mother I Sober,Kendrick Lamar Featuring Beth Gibbons
60,In A Minute,Lil Baby
61,Yo No Soy Celoso,Bad Bunny
62,Damn Strait,Scotty McCreery
63,Dua Lipa,Jack Harlow
64,She's All I Wanna Be,Tate McRae
65,Efecto,Bad Bunny
66,When You're Gone,Shawn Mendes
67,Get Into It (Yuh),Doja Cat
68,Freaky Deaky,Tyga X Doja Cat
69,Neverita,Bad Bunny
70,2step,Ed Sheeran Featuring Lil Baby
71,Never Say Never,Cole Swindell / Lainey Wilson
72,La Corriente,Bad Bunny & Tony Dize
73,What Happened To Virgil,Lil Durk Featuring Gunna
74,Right On,Lil Baby
75,Something In The Orange,Zach Bryan
76,Slow Down Summer,Thomas Rhett
77,The Heart Part 5,Kendrick Lamar
78,Churchill Downs,Jack Harlow Featuring Drake
79,Love You Better,Future
80,I'm On One,Future Featuring Drake
81,Andrea,Bad Bunny & Buscabulla
82,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
83,Dos Mil 16,Bad Bunny
84,Flower Shops,ERNEST Featuring Morgan Wallen
85,Aguacero,Bad Bunny
86,If I Was A Cowboy,Miranda Lambert
87,Otro Atardecer,Bad Bunny & The Marias
88,Un Coco,Bad Bunny
89,El Apagon,Bad Bunny
90,Pushin P,Gunna & Future Featuring Young Thug
91,Me Or Sum,"Nardo Wick, Lil Baby & Future"
92,Fall In Love,Bailey Zimmerman
93,712PM,Future
94,Don't Think Jesus,Morgan Wallen
95,No Love,Summer Walker & SZA
96,The Motto,Tiesto & Ava Max
97,Me Fui de Vacaciones,Bad Bunny
98,Hold My Hand,Lady Gaga
99,Ensename A Bailar,Bad Bunny
100,Flowers,Lauren Spencer-Smith
